tot,tx,mi
1.0058307647705078,0.8925521373748779,0.11327862739562988
1.0062947273254395,0.8943459987640381,0.11194872856140137
1.0137908458709717,0.9016985893249512,0.11209225654602051
1.0104312896728516,0.8978803157806396,0.11255097389221191
1.0236396789550781,0.9110350608825684,0.11260461807250977
0.9916372299194336,0.8776299953460693,0.11400723457336426
1.0121228694915771,0.9003462791442871,0.11177659034729004
1.0181128978729248,0.9068868160247803,0.11122608184814453
1.0121943950653076,0.9005236625671387,0.11167073249816895
1.0100476741790771,0.8971784114837646,0.1128692626953125
1.0195255279541016,0.9060614109039307,0.1134641170501709
1.0103797912597656,0.8983664512634277,0.11201333999633789
1.0221765041351318,0.9092140197753906,0.11296248435974121
0.9907419681549072,0.8788015842437744,0.11194038391113281
1.0098087787628174,0.897533655166626,0.1122751235961914
1.0169563293457031,0.9037401676177979,0.11321616172790527
0.9927866458892822,0.8798267841339111,0.1129598617553711
1.0102758407592773,0.8973267078399658,0.11294913291931152
1.034879446029663,0.9231472015380859,0.11173224449157715
0.9920792579650879,0.8804919719696045,0.1115872859954834
1.0317962169647217,0.9198753833770752,0.11192083358764648
1.0249176025390625,0.9103353023529053,0.11458230018615723
1.0081336498260498,0.8959054946899414,0.1122281551361084
1.0034356117248535,0.8917813301086426,0.11165428161621094
1.0082178115844727,0.8969142436981201,0.11130356788635254
1.0308308601379395,0.9169645309448242,0.11386632919311523
1.0058872699737549,0.8942806720733643,0.11160659790039062
1.0118329524993896,0.8978183269500732,0.1140146255493164
1.021738052368164,0.9075179100036621,0.11422014236450195
1.042726755142212,0.9287769794464111,0.11394977569580078
1.0180251598358154,0.9034445285797119,0.11458063125610352
1.0365729331970215,0.9235677719116211,0.11300516128540039
1.017143964767456,0.9045419692993164,0.11260199546813965
1.024728536605835,0.9138076305389404,0.11092090606689453
1.010335922241211,0.8997511863708496,0.11058473587036133
1.0099990367889404,0.8962249755859375,0.11377406120300293
1.0030958652496338,0.8896746635437012,0.11342120170593262
1.003622055053711,0.8906652927398682,0.11295676231384277
1.024660348892212,0.9123494625091553,0.11231088638305664
1.0218687057495117,0.9095613956451416,0.11230731010437012
1.028482437133789,0.9164519309997559,0.1120305061340332
1.0212113857269287,0.9081676006317139,0.11304378509521484
1.0279288291931152,0.9163200855255127,0.11160874366760254
1.035644292831421,0.9214763641357422,0.11416792869567871
1.022446632385254,0.9113719463348389,0.11107468605041504
1.0162162780761719,0.9039628505706787,0.11225342750549316
1.0017797946929932,0.8880541324615479,0.11372566223144531
1.0231828689575195,0.9114453792572021,0.11173748970031738
1.0313868522644043,0.9134149551391602,0.11797189712524414
1.026301622390747,0.9120845794677734,0.11421704292297363
