tot,tx,mi
0.47696495056152344,0.12948846817016602,0.3474764823913574
0.5426228046417236,0.17416954040527344,0.3684532642364502
0.5387277603149414,0.13628411293029785,0.40244364738464355
0.479266881942749,0.12815165519714355,0.35111522674560547
0.4404442310333252,0.1269993782043457,0.3134448528289795
0.44478511810302734,0.12351298332214355,0.3212721347808838
0.44171643257141113,0.13375282287597656,0.30796360969543457
0.6625165939331055,0.1568596363067627,0.5056569576263428
0.4628031253814697,0.13384461402893066,0.32895851135253906
0.44977784156799316,0.12951874732971191,0.32025909423828125
0.4592764377593994,0.132918119430542,0.3263583183288574
0.4349503517150879,0.1234440803527832,0.3115062713623047
0.44837212562561035,0.12651515007019043,0.3218569755554199
0.48381543159484863,0.1274271011352539,0.3563883304595947
0.43523478507995605,0.12709379196166992,0.30814099311828613
0.4502871036529541,0.12576770782470703,0.32451939582824707
0.4772491455078125,0.1286630630493164,0.3485860824584961
0.45656657218933105,0.13797855377197266,0.3185880184173584
0.4753553867340088,0.1242210865020752,0.3511343002319336
0.6403365135192871,0.14065098762512207,0.49968552589416504
0.4417123794555664,0.12816119194030762,0.3135511875152588
0.5388157367706299,0.13022685050964355,0.40858888626098633
0.4307239055633545,0.12386631965637207,0.3068575859069824
0.4647648334503174,0.1276261806488037,0.33713865280151367
0.44781994819641113,0.12530231475830078,0.32251763343811035
0.45017528533935547,0.1283731460571289,0.32180213928222656
0.4472634792327881,0.125474214553833,0.3217892646789551
0.4584989547729492,0.12681341171264648,0.33168554306030273
0.4520435333251953,0.12636375427246094,0.3256797790527344
0.4434783458709717,0.12296271324157715,0.32051563262939453
0.44244885444641113,0.12921667098999023,0.3132321834564209
0.45984458923339844,0.12411189079284668,0.33573269844055176
0.45668697357177734,0.128126859664917,0.32856011390686035
0.5349302291870117,0.12274742126464844,0.4121828079223633
0.4341413974761963,0.12511372566223145,0.30902767181396484
0.4475884437561035,0.13237404823303223,0.3152143955230713
0.47231554985046387,0.14001870155334473,0.33229684829711914
0.43950343132019043,0.12671732902526855,0.3127861022949219
0.4426147937774658,0.12899184226989746,0.31362295150756836
0.448681116104126,0.12570905685424805,0.32297205924987793
0.5107746124267578,0.16580653190612793,0.3449680805206299
0.43747854232788086,0.12187004089355469,0.31560850143432617
0.7173211574554443,0.1594233512878418,0.5578978061676025
0.4488835334777832,0.12714242935180664,0.32174110412597656
0.4480414390563965,0.12157201766967773,0.32646942138671875
0.4510836601257324,0.12552237510681152,0.3255612850189209
0.4687647819519043,0.12603354454040527,0.342731237411499
0.4418754577636719,0.12713408470153809,0.3147413730621338
0.4336268901824951,0.12227535247802734,0.3113515377044678
0.4422035217285156,0.12696552276611328,0.31523799896240234
