exec_time,write_time,read_time
0.0287177,0.0189533,0.0063673
0.0286715,0.018472,0.00495624
0.0286585,0.0184321,0.00492171
0.0286621,0.018051,0.00482487
0.028724,0.0184234,0.00486906
0.028708,0.0182573,0.004846
0.0287068,0.0182251,0.00484064
0.0286825,0.0182092,0.00492163
0.0287108,0.018309,0.00486846
0.0287061,0.0182953,0.00483103
0.0287103,0.0182672,0.00485681
0.0287051,0.0184114,0.00485131
0.0287013,0.0182805,0.00486114
0.0286875,0.0182165,0.00484928
0.0287205,0.0183234,0.00488231
0.0287232,0.0182234,0.00488767
0.0287089,0.0182813,0.00490177
0.0287069,0.018395,0.00489005
0.0287068,0.0181557,0.00489244
0.0287122,0.0181979,0.00486317
0.0287081,0.0183725,0.00499887
0.0287063,0.0183911,0.00486763
0.0286813,0.0182361,0.00488187
0.028701,0.0182266,0.00487403
0.0286913,0.0184472,0.00494922
0.028709,0.0182458,0.00487837
0.028707,0.0183422,0.00502632
0.0286896,0.0182365,0.00484601
0.0287049,0.0185676,0.00491185
0.0287023,0.0182713,0.00487259
0.0287099,0.0183599,0.00487087
0.0286977,0.0182276,0.00487326
0.0286756,0.0183354,0.00487611
0.0286647,0.0182473,0.00491562
0.0286939,0.0188593,0.00483442
0.028688,0.0182511,0.00505139
0.0286779,0.0181878,0.00472683
0.0286991,0.0185023,0.00488226
0.0286817,0.0191202,0.00482999
0.0286744,0.0182756,0.00490092
0.0286897,0.018484,0.00504436
0.0286803,0.0185086,0.00492993
0.0286869,0.0182883,0.00488751
0.0286907,0.0182455,0.00486766
0.0286803,0.0182299,0.00487682
0.0287057,0.0188211,0.00484478
0.0286844,0.0182707,0.00489604
0.0286917,0.0184064,0.00485547
0.0286945,0.0183242,0.00486491
0.0286944,0.0182629,0.00485322
