exec_time,write_time,read_time
0.139684,0.072797,0.0241758
0.1398,0.0729224,0.0193652
0.139567,0.0726826,0.0193921
0.139588,0.0730157,0.0193599
0.139646,0.0727664,0.0193517
0.139615,0.0726813,0.0195157
0.139625,0.0731392,0.0193273
0.139692,0.072821,0.0193463
0.139661,0.0727319,0.0194019
0.139585,0.0727534,0.0193696
0.139841,0.0730492,0.0193785
0.13966,0.0729398,0.0193915
0.139555,0.0728324,0.0193985
0.139707,0.0728443,0.0194118
0.139624,0.0728913,0.019338
0.139603,0.0727647,0.0193392
0.139602,0.0728157,0.0194282
0.139675,0.0727551,0.0193329
0.139656,0.0730257,0.0194606
0.139829,0.0727199,0.0193408
0.139623,0.0728893,0.0189754
0.139627,0.072014,0.0193258
0.139574,0.072631,0.0193289
0.139688,0.0727837,0.019377
0.13967,0.0728794,0.0196188
0.140135,0.0730006,0.0193164
0.139559,0.0721961,0.0193553
0.14011,0.0724314,0.0193897
0.139667,0.0727274,0.0193257
0.139695,0.0729165,0.0193503
0.139611,0.0728523,0.0194269
0.139604,0.072778,0.0193982
0.139532,0.0728646,0.0192921
0.139643,0.0727953,0.0193721
0.139997,0.072586,0.0193651
0.139593,0.0727507,0.019318
0.14014,0.0726652,0.0193276
0.139676,0.0727226,0.0193552
0.139815,0.0726769,0.0191829
0.139694,0.0728012,0.019382
0.139657,0.0729147,0.0193307
0.139588,0.07315,0.0193529
0.139545,0.0727782,0.0193345
0.139601,0.0728025,0.0199433
0.139601,0.0729272,0.0193754
0.13969,0.0728406,0.0196506
0.139554,0.0728664,0.0193331
0.13969,0.0728284,0.0193377
0.139658,0.0726225,0.0193619
0.139566,0.0728537,0.0193862
