exec_time,write_time,read_time
0.0451226,0.145898,0.0487945
0.0450817,0.145091,0.0407655
0.0450827,0.145453,0.0386124
0.0450847,0.14567,0.038741
0.0450684,0.146693,0.0385837
0.0450847,0.145671,0.0386232
0.0450896,0.145392,0.0386106
0.0450463,0.145428,0.041303
0.0450836,0.147868,0.0387909
0.0450752,0.145229,0.0385475
0.0450828,0.145329,0.0386641
0.0450651,0.14539,0.0385389
0.0450767,0.145317,0.0386468
0.0450779,0.146122,0.0376415
0.0450721,0.145391,0.0386762
0.0450555,0.147181,0.0376367
0.0450676,0.145977,0.0388832
0.0450766,0.145241,0.0385731
0.0450784,0.145233,0.0386256
0.0450751,0.145528,0.0386781
0.0450851,0.145096,0.0396264
0.0450768,0.145296,0.0385708
0.0450815,0.145112,0.0387138
0.0450693,0.1454,0.0389049
0.0450764,0.14533,0.0386659
0.0450615,0.145763,0.0385818
0.0450796,0.14575,0.0385958
0.0450989,0.145015,0.0385396
0.0450826,0.145108,0.0385614
0.0450812,0.145642,0.0387683
0.0450813,0.145214,0.038744
0.0450809,0.145466,0.0386134
0.0450748,0.147284,0.0381364
0.0450647,0.145267,0.0386118
0.0450798,0.145515,0.0385567
0.0450824,0.145138,0.0385586
0.045099,0.145443,0.0386384
0.045058,0.145144,0.0386608
0.0450836,0.145727,0.0386702
0.0450594,0.145634,0.0385912
0.0450895,0.145245,0.0386538
0.0450779,0.145341,0.0385767
0.04509,0.145431,0.0392593
0.0450727,0.145363,0.038702
0.0450736,0.145088,0.0388391
0.0450629,0.145424,0.0386994
0.0450836,0.144983,0.0387506
0.0450803,0.145356,0.0386728
0.0450729,0.14556,0.0386339
0.0450565,0.145977,0.0386183
