exec_time,write_time,read_time
0.268404,0.149435,0.0514988
0.267411,0.144023,0.0383494
0.267436,0.145309,0.0384463
0.267382,0.146923,0.0374267
0.267434,0.145764,0.0383745
0.267442,0.145647,0.0384708
0.267494,0.144612,0.0383938
0.267419,0.145215,0.0383856
0.267402,0.145072,0.0384855
0.267472,0.145299,0.0383522
0.267368,0.145127,0.0383862
0.267427,0.145056,0.0383761
0.267465,0.144961,0.0383627
0.267412,0.145009,0.0385194
0.267466,0.145235,0.0384019
0.267365,0.145445,0.038396
0.267407,0.145215,0.0384047
0.267441,0.145212,0.0377399
0.267373,0.145262,0.0383822
0.267338,0.145263,0.0384176
0.267413,0.145162,0.0383319
0.267418,0.145289,0.0383801
0.26752,0.144993,0.0384257
0.267362,0.145138,0.0384019
0.26747,0.145212,0.038455
0.267414,0.145088,0.0383656
0.267407,0.145705,0.0384035
0.267373,0.145005,0.0383726
0.267393,0.145006,0.0386016
0.267431,0.145191,0.0384289
0.267407,0.145021,0.0384756
0.267439,0.14476,0.0383326
0.267486,0.144897,0.0383784
0.267417,0.14456,0.03842
0.267428,0.144973,0.0383802
0.267375,0.145056,0.0384337
0.267383,0.14505,0.0384017
0.267394,0.144914,0.038381
0.267407,0.142759,0.0374929
0.267347,0.146496,0.0384601
0.267397,0.145051,0.0383601
0.267414,0.144889,0.0384228
0.267405,0.144641,0.038516
0.267384,0.145359,0.0384174
0.267436,0.145079,0.0383352
0.267447,0.144823,0.0386099
0.26747,0.145062,0.0385317
0.267396,0.145078,0.038357
0.267413,0.145014,0.0383666
0.267457,0.145631,0.03842
