exec_time,write_time,read_time
0.532553,0.144714,0.0477114
0.532562,0.14513,0.0385614
0.532644,0.144991,0.038631
0.532618,0.144893,0.0385827
0.532533,0.145041,0.0385373
0.532556,0.145166,0.0385814
0.532634,0.144852,0.0385949
0.532606,0.144978,0.0386476
0.532503,0.142311,0.0373802
0.532559,0.144967,0.0386101
0.532637,0.145128,0.0385728
0.532622,0.145034,0.0386035
0.532543,0.145053,0.0388216
0.532556,0.146625,0.0386191
0.532614,0.145203,0.0388383
0.532619,0.144243,0.0385461
0.532531,0.144888,0.0455528
0.532557,0.145273,0.0386523
0.532635,0.145022,0.0386967
0.532617,0.144782,0.038578
0.532557,0.145204,0.0385836
0.532561,0.1451,0.0386432
0.532627,0.144615,0.0385424
0.532618,0.144873,0.038624
0.532549,0.144764,0.0385543
0.532563,0.145186,0.0397296
0.532634,0.144348,0.0389939
0.532602,0.145224,0.038631
0.532539,0.145057,0.0386139
0.532554,0.143867,0.0376165
0.532642,0.142789,0.0385805
0.532607,0.14418,0.0386048
0.53254,0.145006,0.0385272
0.532556,0.14497,0.0386129
0.532627,0.145007,0.0388841
0.532614,0.145049,0.0386163
0.53253,0.144993,0.0386489
0.532558,0.145265,0.038576
0.532638,0.145049,0.038554
0.532613,0.144732,0.0385728
0.532535,0.142796,0.0376109
0.532555,0.144783,0.037625
0.532616,0.142915,0.0377736
0.532632,0.145042,0.0385864
0.532536,0.144904,0.03857
0.532554,0.14486,0.0387739
0.532637,0.145247,0.0385723
0.53262,0.145245,0.0385781
0.532518,0.144997,0.0385453
0.532557,0.144795,0.0385852
