exec_time,write_time,read_time
0.077171,0.0366264,0.0124061
0.0771208,0.0365318,0.00974994
0.0771169,0.0364571,0.00970333
0.0771539,0.0364398,0.00963714
0.0771987,0.0365057,0.0097894
0.0771211,0.0369569,0.00974928
0.077136,0.0370217,0.00984516
0.0771542,0.0370152,0.00971528
0.0772151,0.0365102,0.00968421
0.077144,0.0364498,0.0097447
0.0771782,0.0364977,0.009937
0.0771082,0.0364084,0.00978273
0.0771636,0.036343,0.00972447
0.0771465,0.0364757,0.00977673
0.0771848,0.0364445,0.00967705
0.0771317,0.0370646,0.00968065
0.0771279,0.0364549,0.00974458
0.077157,0.0370696,0.00970345
0.0771312,0.0365699,0.00981782
0.0771397,0.0366885,0.00971707
0.0771844,0.0364125,0.00992095
0.077109,0.0366837,0.009602
0.0771371,0.03645,0.00972398
0.0771361,0.0364915,0.00973487
0.0771938,0.0375004,0.00970757
0.0771164,0.0371732,0.00996655
0.0771548,0.036571,0.00975671
0.0771365,0.0369745,0.00966303
0.0771511,0.0372027,0.00974978
0.0771512,0.0364744,0.00980967
0.0771972,0.0366388,0.00966824
0.0771103,0.0366453,0.00974378
0.0771164,0.0365108,0.00968002
0.0771635,0.0365178,0.00950546
0.0771311,0.0364563,0.00977064
0.0771323,0.0364432,0.00968238
0.0771301,0.0364517,0.00967847
0.0771246,0.0371486,0.00968705
0.077129,0.0364315,0.00966913
0.0771528,0.0363803,0.00988812
0.0771331,0.036358,0.00968872
0.0769932,0.0364961,0.0097341
0.077142,0.0367055,0.00974798
0.0771585,0.0371438,0.0097256
0.0771951,0.0364001,0.00965155
0.0771269,0.0364795,0.00970222
0.0771014,0.0365264,0.00982989
0.0771086,0.0365982,0.00965852
0.0771096,0.0364853,0.0096828
0.0771199,0.0363968,0.00969612
