exec_time,write_time,read_time
0.0288432,0.0728673,0.0240536
0.0287949,0.0729861,0.0192196
0.0288012,0.0728231,0.0193077
0.0288041,0.0723648,0.0191444
0.0287867,0.073152,0.0192336
0.0288033,0.0731729,0.0191487
0.0288114,0.0736875,0.0192268
0.0288055,0.0729726,0.0191645
0.028807,0.0729119,0.0192207
0.028792,0.0728835,0.0195571
0.0288022,0.0732138,0.019203
0.0288052,0.0727215,0.0191806
0.0287664,0.0725808,0.0191279
0.0287718,0.0729464,0.0191598
0.0287881,0.0727728,0.0191302
0.0287901,0.0738246,0.0191558
0.0287961,0.0727655,0.0191646
0.0287929,0.0734433,0.0193095
0.0287813,0.0732436,0.0191643
0.0287947,0.0730156,0.0191508
0.0287961,0.0729822,0.0200033
0.0287961,0.0731499,0.0191423
0.0287981,0.0734814,0.0191649
0.028802,0.0725912,0.0192025
0.0287919,0.0734361,0.0191347
0.0288035,0.072856,0.0191889
0.0288367,0.0728479,0.019141
0.028806,0.0728396,0.019326
0.0287931,0.0730917,0.0191541
0.0288081,0.0730964,0.0196272
0.0288041,0.0735921,0.0191949
0.0287932,0.0731584,0.0194447
0.0287924,0.0732549,0.0191193
0.0288053,0.0729404,0.0192662
0.0287982,0.0730756,0.0192629
0.0287955,0.0733678,0.0192013
0.0287914,0.0727989,0.0191926
0.028807,0.0730954,0.0191408
0.0287816,0.0747922,0.019228
0.0288062,0.0728754,0.0191919
0.0287876,0.0726389,0.0191467
0.0287935,0.0728941,0.0191277
0.0287889,0.0728289,0.0191304
0.0288327,0.0725931,0.0191058
0.0288015,0.0729309,0.0193509
0.028801,0.0729585,0.0193945
0.0288279,0.0732232,0.0191625
0.0288038,0.072792,0.0191322
0.0287992,0.0727657,0.0191375
0.0288094,0.0727806,0.0191677
