exec_time,write_time,read_time
0.0771609,0.0189883,0.00634628
0.0771317,0.0182008,0.0047438
0.0771214,0.0177972,0.00473905
0.0771259,0.0179413,0.00472445
0.0771666,0.0182217,0.00486904
0.0771553,0.0186662,0.00486117
0.0771556,0.0182487,0.00491815
0.0771625,0.0183656,0.00497005
0.0771554,0.0182112,0.00487433
0.0771524,0.0184095,0.00499266
0.0771438,0.0183594,0.00485981
0.0771494,0.0182572,0.0049179
0.0771579,0.0182585,0.00488358
0.0771579,0.0182822,0.00514261
0.0771556,0.018283,0.00485657
0.0771552,0.0184434,0.0048975
0.0771451,0.0181918,0.00485768
0.0771619,0.0183149,0.00487959
0.0771506,0.0181703,0.00494886
0.0771466,0.0182734,0.00486043
0.0771455,0.0183093,0.00489031
0.0771622,0.0184934,0.00489021
0.0771463,0.01834,0.00492329
0.0771376,0.0186101,0.00489659
0.0771547,0.0184047,0.00486013
0.077165,0.0183393,0.0049011
0.077162,0.0182798,0.00499632
0.0771599,0.0182259,0.00489482
0.0771496,0.0184049,0.00491955
0.0771342,0.0182469,0.00491083
0.0771578,0.018205,0.00486019
0.0771503,0.0181777,0.00486118
0.0771447,0.0183936,0.0049537
0.0771495,0.0184575,0.00490508
0.0771304,0.0183793,0.00487507
0.077161,0.018319,0.00486449
0.0771461,0.018719,0.0048644
0.0771331,0.0181592,0.00487382
0.0771553,0.0184437,0.00489866
0.0771648,0.0184026,0.00487054
0.0771551,0.0181793,0.00487811
0.0771624,0.018345,0.00485961
0.0771586,0.0182949,0.00486039
0.0771576,0.0185623,0.0048745
0.0769962,0.0182886,0.00485517
0.0771643,0.0183961,0.00496414
0.0771624,0.0180951,0.00486953
0.0771583,0.0181491,0.00488425
0.0771469,0.0180901,0.00485363
0.0771483,0.0186345,0.0048973
