exec_time,write_time,read_time
0.044878,0.00852115,0.0035084
0.0448548,0.00895473,0.0024807
0.0448513,0.00911508,0.00248846
0.0448543,0.00933143,0.00326904
0.0448568,0.00887309,0.00268634
0.0448501,0.00912088,0.00262805
0.044824,0.00992494,0.00257388
0.0448538,0.0109857,0.00276321
0.0448585,0.00923287,0.00273344
0.0448088,0.00905692,0.00247216
0.0448456,0.00955782,0.00247661
0.0448338,0.00921039,0.00247508
0.0448467,0.00905673,0.0024817
0.0448313,0.00909164,0.00247722
0.0448352,0.00927933,0.00248868
0.0448529,0.00952267,0.00248009
0.0448332,0.00935395,0.00246752
0.0448354,0.00926586,0.00248632
0.0448344,0.00942128,0.00248297
0.0448525,0.00919935,0.002478
0.0448175,0.00901804,0.00249877
0.0448578,0.00902254,0.00251942
0.0448281,0.00906705,0.00240242
0.0448458,0.00905414,0.00247925
0.0448398,0.00912758,0.00250609
0.0448503,0.00886401,0.00247093
0.0448408,0.00904846,0.00251569
0.0448407,0.00937421,0.00249277
0.0448253,0.00914712,0.0024766
0.0448107,0.00926396,0.00250332
0.0448161,0.00904957,0.00246753
0.0448481,0.00897948,0.00246328
0.0448408,0.00884501,0.00248042
0.0448372,0.00907688,0.00247601
0.0448302,0.00892426,0.00246757
0.0448366,0.00906422,0.00245764
0.0448179,0.00911186,0.00246667
0.0448247,0.00915609,0.0024911
0.0448411,0.00944349,0.00251728
0.0448528,0.00915792,0.0024987
0.0448481,0.00923429,0.00246813
0.0448367,0.00939772,0.00246044
0.0448359,0.00911392,0.00246224
0.0448484,0.00946492,0.00246758
0.0448293,0.0091829,0.00248347
0.0448478,0.00899406,0.00246022
0.04484,0.00923854,0.00251353
0.0448536,0.00903084,0.00246203
0.0448337,0.0093691,0.00246171
0.0448415,0.00892564,0.00245881
