exec_time,write_time,read_time
0.028688,0.0367201,0.012469
0.0286783,0.0368143,0.00979738
0.0286622,0.0364313,0.00972762
0.0286789,0.0365258,0.00974741
0.0286553,0.035883,0.00944762
0.028679,0.0364596,0.00968038
0.0286714,0.0364859,0.00971579
0.0286754,0.0365696,0.00979275
0.0286871,0.0364086,0.00974818
0.0287051,0.0364664,0.0097049
0.0286858,0.036589,0.00971967
0.0286942,0.0364606,0.0097097
0.0286822,0.036551,0.00971159
0.0286937,0.0364654,0.00972419
0.0286857,0.036857,0.00975766
0.0286892,0.0364605,0.00976496
0.0286992,0.0364425,0.00972802
0.0286813,0.0364379,0.00977419
0.028689,0.0364382,0.00980205
0.0286984,0.036428,0.00970387
0.02868,0.0365674,0.00973584
0.0286945,0.0363839,0.009715
0.0286833,0.0363922,0.00971834
0.0286783,0.0365425,0.00987605
0.0286773,0.0367014,0.00975763
0.028688,0.0365847,0.00978408
0.0286785,0.036642,0.00978378
0.0286726,0.0364021,0.00984846
0.0286828,0.0366374,0.00973261
0.0286801,0.036436,0.00972783
0.0286912,0.0365345,0.00979965
0.0287046,0.0368246,0.00979115
0.0286735,0.0364158,0.00976584
0.0286795,0.0366368,0.00954524
0.0286771,0.0365492,0.00953925
0.0286909,0.0364342,0.00952536
0.0286775,0.0365078,0.00951479
0.028678,0.0364147,0.00953636
0.0286894,0.0364096,0.00954875
0.0286878,0.0364647,0.00972063
0.0286754,0.0364115,0.00975013
0.0286951,0.036666,0.00974135
0.028662,0.0366456,0.00973512
0.0286929,0.0366035,0.00974694
0.0286913,0.0364283,0.0097402
0.0287077,0.0366251,0.00972892
0.0286753,0.0364177,0.00977662
0.0286737,0.0368008,0.00975983
0.0286643,0.0364647,0.00952183
0.0286787,0.0365088,0.00974899
