exec_time,write_time,read_time
0.266995,0.0732323,0.0239534
0.267003,0.0729345,0.0191718
0.266968,0.0730303,0.0192047
0.266947,0.0729352,0.0191808
0.266981,0.0726818,0.0191559
0.266987,0.0731235,0.0191829
0.26694,0.0727321,0.0192336
0.266936,0.0727291,0.0191618
0.266951,0.0733776,0.0191726
0.266965,0.0726595,0.019172
0.266927,0.0726006,0.0191482
0.266969,0.0730198,0.0191744
0.266996,0.073011,0.0191358
0.266952,0.0728439,0.0192075
0.266942,0.0727739,0.0191522
0.26693,0.0730366,0.0191805
0.26703,0.0726693,0.0192509
0.267004,0.0726694,0.0191702
0.266948,0.0730593,0.0191913
0.266943,0.0727242,0.0191646
0.266984,0.0729014,0.0191929
0.267009,0.0726152,0.0191637
0.26695,0.0726966,0.0192331
0.266946,0.0727609,0.0191469
0.266981,0.073087,0.0191977
0.266976,0.0727158,0.0192288
0.266945,0.0729551,0.0191473
0.266953,0.0729813,0.019208
0.266954,0.0729647,0.0191745
0.266982,0.0732383,0.0192197
0.266935,0.0730213,0.0191491
0.266993,0.0727288,0.0191811
0.26699,0.0728341,0.0191486
0.266956,0.0727112,0.0191673
0.26694,0.0728987,0.0192193
0.266931,0.0729157,0.0191841
0.266999,0.0726677,0.0186961
0.266983,0.0718551,0.0191944
0.266954,0.0725919,0.0191905
0.266939,0.0727019,0.0192006
0.266973,0.0730002,0.0191485
0.267012,0.0728224,0.0191848
0.266947,0.0727415,0.0191789
0.266949,0.0727943,0.019181
0.266984,0.072772,0.019431
0.26699,0.0730491,0.0191499
0.266959,0.0726407,0.0192557
0.266946,0.0728111,0.0191913
0.266951,0.0727134,0.0187865
0.266984,0.0727074,0.0192876
