exec_time,write_time,read_time
0.0467624,0.0725099,0.0240789
0.0449278,0.0730817,0.0194476
0.0448877,0.0733774,0.0195866
0.0448728,0.0731429,0.0193953
0.0448696,0.0730514,0.0194749
0.0448491,0.0727918,0.0194556
0.0448024,0.0733609,0.0193802
0.0448146,0.0730934,0.019433
0.0448315,0.072952,0.0193763
0.0448472,0.073242,0.018977
0.0448943,0.0729715,0.0196169
0.0448972,0.0727804,0.0194815
0.0448973,0.0735884,0.0193612
0.0448853,0.0726681,0.0194939
0.0448973,0.0727841,0.0194638
0.0448343,0.0728178,0.0195749
0.0447922,0.0731698,0.0194206
0.0447972,0.0727462,0.0191619
0.0448193,0.0732145,0.0193866
0.0448311,0.072791,0.0195643
0.0448579,0.0731423,0.0194985
0.0448579,0.0755069,0.019471
0.0448917,0.0725854,0.0193498
0.0448326,0.0730203,0.0194428
0.0448946,0.0731286,0.0193378
0.0448033,0.072787,0.0193983
0.0448282,0.0728021,0.0193785
0.0447895,0.0730874,0.0194476
0.044767,0.073392,0.019587
0.0448339,0.0743529,0.0194435
0.0449039,0.0735018,0.0195164
0.0448896,0.0734092,0.0194402
0.0448503,0.0729971,0.0196251
0.0448278,0.0730576,0.0194503
0.0448268,0.0726905,0.0194576
0.0448223,0.073151,0.0195917
0.0447949,0.0728647,0.0194089
0.044796,0.0726184,0.0195792
0.0448395,0.0730028,0.0195365
0.0448259,0.0733344,0.0196087
0.0449031,0.0729358,0.0196079
0.044904,0.0733512,0.019617
0.0448751,0.0728176,0.0193787
0.0448891,0.0729703,0.020608
0.0448547,0.0730462,0.0193649
0.0448322,0.0732951,0.0193957
0.0448025,0.0731805,0.0194686
0.0448361,0.0731223,0.0193605
0.0448415,0.0723319,0.0191286
0.0448362,0.0736101,0.0191546
