exec_time,write_time,read_time
0.0146305,0.00837974,0.00355521
0.0145755,0.00909803,0.00247887
0.0146088,0.00897522,0.00246844
0.0145848,0.00920113,0.00246656
0.014571,0.00908214,0.00244667
0.014557,0.00896088,0.00251179
0.014575,0.00908301,0.00246682
0.0145774,0.00934753,0.002484
0.0145727,0.00910525,0.00250121
0.0145768,0.00900103,0.00257262
0.0145981,0.00903714,0.00239788
0.0145897,0.00882738,0.00243726
0.0146181,0.00881998,0.00247623
0.0146157,0.00884616,0.00246779
0.0146002,0.00902045,0.00246204
0.0145968,0.00885703,0.00242643
0.0145832,0.00881055,0.00242244
0.0145995,0.00883043,0.00241313
0.0146043,0.00874854,0.00246598
0.0146022,0.00908469,0.00245559
0.0146044,0.00885185,0.0024391
0.0146247,0.00878798,0.00264739
0.0146095,0.00888966,0.00246661
0.0146034,0.00894284,0.00246929
0.0145988,0.00896613,0.00246963
0.0145906,0.00886118,0.00248773
0.0145989,0.0088972,0.00250843
0.0145931,0.00899963,0.00250351
0.0145912,0.00918246,0.00251508
0.014606,0.00916815,0.00247169
0.0145884,0.00894246,0.0024614
0.0146076,0.00894823,0.00249157
0.0146138,0.00901032,0.0024836
0.0146034,0.00902334,0.00246537
0.0145959,0.00907381,0.00254726
0.0145874,0.0090539,0.00246168
0.0146049,0.00902817,0.00247494
0.0145838,0.00898989,0.00247958
0.0145979,0.00911801,0.00246735
0.0146003,0.00900097,0.00256156
0.0146001,0.00901774,0.00246888
0.014605,0.00898912,0.0024863
0.0146208,0.00897323,0.0024627
0.0145962,0.00930863,0.00247022
0.0145877,0.00901297,0.00248371
0.0145962,0.00910434,0.00248316
0.0145855,0.00892192,0.0024695
0.0145941,0.00905355,0.0024617
0.0145983,0.0090234,0.00246146
0.0146049,0.00906516,0.00246428
