exec_time,write_time,read_time
0.0088475,0.00405555,0.00198697
0.00888339,0.00418969,0.0012665
0.00881832,0.00429166,0.00125428
0.00890673,0.00427526,0.00124705
0.00882113,0.00461761,0.00125413
0.00889022,0.0042611,0.00128003
0.00882543,0.00456936,0.00125191
0.00880554,0.00412633,0.00120673
0.00888814,0.00435714,0.00125366
0.00883387,0.00421375,0.00125621
0.00885386,0.00436048,0.0012744
0.00881749,0.00412527,0.00122457
0.00884125,0.00422993,0.00122496
0.00884564,0.00437659,0.00123742
0.00885427,0.00449921,0.00126754
0.00884318,0.00418675,0.00125498
0.00884366,0.00436528,0.00128404
0.00885806,0.00430384,0.00127325
0.00890947,0.00436946,0.00124213
0.00885,0.00436798,0.00124793
0.00889574,0.00426323,0.00135566
0.00888517,0.0042568,0.00123683
0.00889149,0.00429436,0.00128387
0.00885133,0.00458241,0.00124499
0.00883824,0.00418877,0.00126153
0.00888374,0.00430453,0.00131381
0.00882823,0.00441081,0.00123173
0.00884417,0.00428663,0.00128324
0.00885371,0.00423939,0.00125907
0.0088383,0.0042515,0.00123882
0.00884036,0.00438378,0.00123885
0.0088262,0.00436377,0.00122856
0.00882196,0.00428907,0.0013009
0.00885973,0.00440895,0.00125696
0.0088217,0.00430417,0.0012852
0.00882528,0.00434063,0.00127548
0.00886992,0.00435217,0.0012614
0.00883537,0.00419641,0.00126354
0.00888632,0.00460536,0.00127282
0.00882978,0.00428124,0.00127994
0.0088573,0.00444206,0.00128462
0.00889239,0.00420832,0.00122264
0.00883516,0.0044246,0.00122503
0.00882088,0.00422289,0.0012607
0.00883334,0.00440581,0.0012497
0.00882186,0.00416928,0.00121997
0.00882197,0.00434362,0.0012597
0.00884947,0.00420506,0.00125889
0.00884728,0.00441386,0.00126281
0.00885319,0.00421858,0.00153184
